CountryName,CountryCode,SeriesName,SeriesCode,2010[YR2010],2011[YR2011],2012[YR2012],2013[YR2013],2014[YR2014]
Mexico,MEX,Rural population,SP.RUR.TOTL,26303440,26338329,26358783,26367780,26367387
Mexico,MEX,  Population- female (% of total)  ,SP.POP.TOTL.FE.ZS,50.27032595,50.26598328,50.26291306,50.26077519,50.25910463
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.530765872,1.462665986,1.407149514,1.358093141,1.321217635
Mexico,MEX,  Population- total  ,SP.POP.TOTL,118617542,120365271,122070963,123740109,125385833
Mexico,MEX,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.513460026,2.533865131,2.554080366,0.023157623,0.784342694
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,8861.493697,9730.277753,9721.062644,10200.80583,10230.1825
Mexico,MEX,  Labor force- total  ,SL.TLF.TOTL.IN,50752609,51179005,53384447,54475981,.. 
Mexico,MEX,  Labor force- female (% of total labor force)  ,SL.TLF.TOTL.FE.ZS,36.41341079,36.38307153,37.09188371,37.16783365,.. 
Mexico,MEX,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.653660977,0.644307172,0.617689268,0.597419255,..
Mexico,MEX,Surface area (sq. km),AG.SRF.TOTL.K2,1964380,1964380,1964380,1964380,1964380
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,61.01882353,61.9178842,62.79532035,63.65395663,64.50054425
Mexico,MEX,Arable land (% of land area),AG.LND.ARBL.ZS,12.09238921,11.81974845,11.90874251,11.81871962,..
Mexico,MEX,  Unemployment- total (% of total labor force) (modeled ILO estimate)  ,SL.UEM.TOTL.ZS,5.199999809,5.300000191,4.900000095,4.900000095,.. 
Mexico,MEX,  Unemployment- female (% of female labor force) (modeled ILO estimate)  ,SL.UEM.TOTL.FE.ZS,5.199999809,5.300000191,4.900000095,5,.. 
Togo,TGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.99567877,4.883763946,5.91249112,5.117622456,5.708886445
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,3172945506,3756023048,3915776184,4338575495,4518443907
Togo,TGO,Internet users (per 100 people),IT.NET.USER.P2,3,3.5,4,4.5,5.7
Togo,TGO,Rural population,SP.RUR.TOTL,3992173,4070374,4149005,4227974,4306879
Togo,TGO,  Population- female (% of total)  ,SP.POP.TOTL.FE.ZS,50.74214686,50.70947655,50.67862946,50.6490738,50.62011931
Togo,TGO,Population growth (annual %),SP.POP.GROW,2.713595479,2.7064644,2.695554347,2.67873238,2.6553193
Togo,TGO,  Population- total  ,SP.POP.TOTL,6390851,6566179,6745581,6928719,7115163
Togo,TGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.211601864,2.083191411,3.095697024,2.339182294,2.938916505
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,496.4824726,572.0256861,580.495021,626.1728171,635.0443282
Togo,TGO,  Labor force- total  ,SL.TLF.TOTL.IN,2951585,3039439,3127208,3222638,.. 
Togo,TGO,  Labor force- female (% of total labor force)  ,SL.TLF.TOTL.FE.ZS,51.30294401,51.19086121,51.14463125,50.97314684,.. 
Togo,TGO,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.315084946,0.305977518,0.297389876,0.288583452,..
Togo,TGO,Surface area (sq. km),AG.SRF.TOTL.K2,56790,56790,56790,56790,56790
Togo,TGO,Population density (people per sq. km of land area),EN.POP.DNST,117.500478,120.7240118,124.022449,127.3895753,130.8174848
